tm(s),latitude(deg),logitude(deg),speed(m/s)
1701563023.34,32.869988,-117.214265,8.858753806897687
1701563023.44,32.86998,-117.214263,9.213721293933657
1701563023.56,32.869971,-117.214263,9.537822042966498
1701563023.76,32.869953,-117.214263,10.16030125936291
1701563023.97,32.869935,-117.214263,11.07087003045518
1701563024.16,32.869915,-117.214263,11.384681866820314
1701563024.37,32.869893,-117.214263,11.971149888879744
1701563024.57,32.869871,-117.214261,12.315828463248005
1701563024.76,32.869848,-117.214261,12.603918017943863
1701563024.97,32.869826,-117.214261,12.819985183965759
1701563025.17,32.869803,-117.21426,13.061774631656927
1701563025.37,32.869778,-117.21426,13.092641369660054
1701563025.57,32.869755,-117.214258,13.246975059675693
1701563025.76,32.869731,-117.214258,13.355008642686641
1701563025.96,32.869706,-117.214258,13.391019837023624
1701563026.16,32.869681,-117.214258,13.406453206025187
1701563026.35,32.869658,-117.214258,13.535064614371553
1701563026.46,32.869645,-117.214258,13.437319944028316
1701563026.65,32.86962,-117.214258,13.648242653716355
1701563026.75,32.869608,-117.214258,13.416742118692895
1701563026.85,32.869596,-117.21426,13.49905342003457
1701563026.95,32.869583,-117.21426,13.637953741048646
1701563027.05,32.869571,-117.21426,13.632809284714792
1701563027.14,32.869558,-117.21426,13.771709605728866
1701563027.25,32.869546,-117.21426,13.684253848053338
1701563027.35,32.869533,-117.214261,13.725409498724174
1701563027.45,32.869521,-117.214261,13.720265042390322
1701563027.55,32.869508,-117.214261,13.699687217054901
1701563027.65,32.869496,-117.214261,13.596798090377808
1701563027.75,32.869485,-117.214261,13.313852992015804
1701563027.85,32.869471,-117.214261,13.463042225697588
1701563027.95,32.86946,-117.214261,13.694542760721047
1701563028.05,32.869446,-117.214261,13.715120586056466
1701563028.15,32.869435,-117.214261,13.900321014075232
1701563028.24,32.869421,-117.214261,13.890032101407524
1701563028.35,32.86941,-117.214261,13.951765577413779
1701563028.44,32.869396,-117.214261,13.977487859083054
1701563028.54,32.869385,-117.214261,13.843731994402832
1701563028.65,32.869371,-117.214261,13.92089883941065
1701563028.75,32.86936,-117.214261,13.884887645073668
1701563028.85,32.869348,-117.214261,13.86430981973825
1701563028.95,32.869335,-117.214261,13.715120586056466
1701563029.05,32.869323,-117.214261,13.679109391719482
1701563029.15,32.869311,-117.214261,13.282986254012677
1701563029.25,32.8693,-117.214261,12.912585397975143
1701563029.35,32.869288,-117.21426,12.547328998271462
1701563029.45,32.869276,-117.21426,12.542184541937607
1701563029.55,32.869265,-117.21426,12.691373775619393
1701563029.65,32.869253,-117.21426,13.01033006831838
1701563029.75,32.86924,-117.21426,13.282986254012677
1701563029.85,32.869226,-117.21426,13.51963124536999
1701563029.95,32.869215,-117.21426,13.637953741048646
1701563030.06,32.869203,-117.214261,13.65338711005021
1701563030.24,32.869178,-117.214261,13.745987324059593
1701563030.34,32.869165,-117.214261,13.73055395505803
1701563030.44,32.869151,-117.214261,13.725409498724174
1701563030.54,32.86914,-117.214261,13.720265042390322
1701563030.66,32.869126,-117.214261,13.720265042390322
1701563030.75,32.869115,-117.214261,13.735698411391883
1701563030.84,32.869101,-117.214261,13.6430981973825
1701563030.94,32.86909,-117.214261,13.658531566384065
1701563031.05,32.869076,-117.214261,13.689398304387192
1701563031.15,32.869065,-117.214261,13.704831673388757
1701563031.25,32.869051,-117.214261,13.720265042390322
1701563031.35,32.869038,-117.214261,13.73055395505803
1701563031.47,32.869026,-117.214261,13.740842867725739
1701563031.67,32.869001,-117.214261,13.833443081735123
1701563031.87,32.868976,-117.214261,13.740842867725739
1701563032.07,32.868953,-117.214261,13.391019837023624
1701563032.27,32.868928,-117.21426,13.581364721376245
1701563032.46,32.868903,-117.21426,13.550497983373116
1701563032.67,32.868878,-117.214258,13.514486789036134
1701563032.87,32.868855,-117.214256,13.689398304387192
1701563033.07,32.86883,-117.214255,13.627664828380937
1701563033.27,32.868805,-117.214255,13.694542760721047
1701563033.47,32.86878,-117.214253,13.679109391719482
1701563033.67,32.868755,-117.214251,13.591653634043954
1701563033.87,32.86873,-117.214248,13.668820479051774
1701563034.07,32.868705,-117.214246,13.65338711005021
1701563034.27,32.86868,-117.214245,13.679109391719482
1701563034.47,32.868655,-117.214241,13.926043295744506
1701563034.65,32.86863,-117.21424,13.936332208412216
1701563034.75,32.868616,-117.214238,13.92089883941065
1701563034.85,32.868605,-117.214236,13.926043295744506
1701563034.95,32.868591,-117.214236,13.936332208412216
1701563035.05,32.86858,-117.214235,13.93118775207836
1701563035.17,32.868566,-117.214233,13.936332208412216
1701563035.35,32.868541,-117.21423,13.962054490081488
1701563035.45,32.86853,-117.21423,13.86430981973825
1701563035.57,32.868516,-117.214228,13.900321014075232
1701563035.77,32.868491,-117.214226,13.93118775207836
1701563035.97,32.868466,-117.214225,13.761420693061158
1701563036.17,32.868441,-117.214221,13.771709605728866
1701563036.37,32.868416,-117.21422,13.915754383076797
1701563036.57,32.868391,-117.214218,13.818009712733557
1701563036.77,32.868366,-117.214215,13.70997612972261
1701563036.97,32.868343,-117.214213,13.85402090707054
1701563037.17,32.868318,-117.21421,13.848876450736688
1701563037.37,32.868293,-117.214206,13.740842867725739
1701563037.57,32.868268,-117.214203,13.781998518396575
1701563037.77,32.868243,-117.214201,13.859165363404395
1701563037.97,32.868218,-117.214198,13.967198946415342
1701563038.17,32.868193,-117.214195,13.859165363404395
1701563038.37,32.868168,-117.21419,14.00835459708618
1701563038.57,32.868143,-117.214185,13.992921228084615
1701563038.77,32.868118,-117.214181,13.761420693061158
1701563038.97,32.868093,-117.214176,13.890032101407524
1701563039.17,32.868068,-117.214171,13.936332208412216
1701563039.37,32.868043,-117.214166,14.085521442093999
1701563039.57,32.868018,-117.214161,13.94147666474607
1701563039.77,32.867995,-117.214154,13.936332208412216
1701563039.97,32.86797,-117.214148,13.936332208412216
